,Unnamed: 0,ts,ID,DLC,bin
1113,51417,25.088293,5DA,8,0011101101100110000000000000000010011001001001001011011100100000
33231,51418,25.088538,648,8,0000000000000000000000000111111011111100011111101111110000000110
23230,51420,25.08893,66A,8,0000000011111110000000000101000001001111110000000000000000000000
40007,20559,25.089314,392,6,101011010000000011100000111111111111111000000001
47005,51188,25.090264,657,3,010010000011111001000100
38247,51421,25.092215,62C,2,1011010100000000
3663,51424,25.092346,4F8,8,0101100000010000001100001111111111111111000000111111111100000000
7727,51425,25.092634,12E,8,1100101110000000000000000111111111100000111111111111111100000000
32471,51427,25.093053,0C6,8,0111110110001010011111111110110010000000000000011010100001100100
26141,51428,25.093289,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22473,51429,25.093537,17E,8,100011111111
43317,25612,25.093578,357,6,000101100100000100000000000010010100011000000000
46263,6209,25.093763,68B,7,01100010001100100000100000000000000001101111011000000100
29150,51430,25.093783,20C,8,1111100011111111111100100001000011111111111100000000000000000000
14605,51431,25.094027,29A,8,101011110101
17663,51434,25.094639,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
12850,51436,25.095088,189,8,0011001000000010110001110011110010110000110000100000000000000000
47608,51416,25.096734,41D,4,10000010111100010010000000011011
44579,51415,25.096734,41A,5,1110110000010000000100000000000000000000
4965,51438,25.096803,217,8,1111111111111111000000110000000000000000000000000000000001100000
34631,51345,25.100417,5D7,8,0100100000000000000000000000100100110000000110011111000011000110
37393,50962,25.100645,218,2,1110010100000010
7728,51441,25.102657,12E,8,1100101110000000000000000111111111100000111111111111111100000000
35537,51303,25.10282,564,3,011101100000001111100000
32472,51443,25.10307,0C6,8,0111110110001010100000000001010010000000000000011010101000111001
26142,51444,25.103307,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22474,51445,25.103555,17E,8,100011111111
43318,51383,25.103612,357,6,000110010000110000001110000000000000000011110000
29151,51446,25.103801,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19421,51447,25.104037,211,8,0100011000000000111111111111111100001010000000000000000011101010
3166,51448,25.104283,242,8,0000000000000000111111111110111111111110000000000000110100000000
12851,51451,25.104869,189,8,0011001000000010110001110011110010110000110000100000000000000000
17664,51453,25.105316,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
10094,51454,25.105568,29C,8,0000000000000000000000000000000011111111111111110000000000000000
15110,51455,25.105797,350,8,1100011100100011010111010110010000010100110010001001010010000101
38902,51311,25.109048,3FA,3,101101000000000000000000
40714,51350,25.109051,204,4,01111010110000000000000000000000
48212,51288,25.109069,500,6,110001010000001000000110010011111101101011110100
7729,51458,25.112622,12E,8,1100101110000000000000000111111111010000111111111111111100000000
32473,51460,25.113035,0C6,8,0111110110001010011111111111011010000000000000011010110001010110
26143,51461,25.113271,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22475,51462,25.113519,17E,8,100011111111
43319,25630,25.113645,357,6,000101100100000100000000000010101001001000000000
29152,51463,25.113765,20C,8,1111100011111111111100100001000011111111111100000000000000000000
14606,51464,25.114012,29A,8,101111110100
40008,51410,25.114328,392,6,101000000000000000000110000000000000000000000000
12852,51468,25.11483,189,8,0011001000000010110001110011110010110000110000100000000000000000
17665,51470,25.115277,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
29918,51471,25.115517,55D,8,0000011000011101111101000000111110010001100000000000000010000000
4966,51472,25.116624,217,8,1111111111111111000000110000000000000000000000000000000001100000
46264,12384,25.12143,68B,7,10001001111111111111111111111111111111111111111111110000
36794,51352,25.121941,2B9,4,01101110000110100110010000000000
45254,51329,25.122346,634,5,0000110010000000000000000000000000000000
7730,51475,25.122632,12E,8,1100101110000000000000000111111111010000111111111111111100000000
32474,51477,25.123051,0C6,8,0111110110001010100000000000101010000000000000011010111000111111
26144,51478,25.123295,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22476,51479,25.123543,17E,8,100011111111
43320,51433,25.123678,357,6,000110010000110000001110000000000000000011110000
29153,51481,25.123953,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19422,51482,25.124182,211,8,0100011000000000111111111111111100001010000000000000000011101011
3167,51483,25.124436,242,8,0000000000000000111111111110111111111110000000000000110100000000
10095,51485,25.124826,29C,8,0000000000000000000000000000000011111111111111110000000000000000
1792,51486,25.125076,354,8,0
12853,51488,25.125525,189,8,0011001000000010110001110011110010110000110000100000000000000000
38248,10368,25.125538,62C,2,100111111111110
17666,51490,25.125972,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
44580,10350,25.130063,41A,5,1100001000010000101100110101001011001000
7731,51493,25.132643,12E,8,1100101110000000000000010111111111100000111111111111111100000000
32475,51495,25.133063,0C6,8,0111110110001010011111111111011010000000000000011011000001010010
26145,51496,25.133299,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22477,51497,25.133548,17E,8,100011111111
43321,25647,25.133712,357,6,000101100100000100000000000010111101111000000000
34632,5165,25.133751,5D7,8,1011000100011001101101000011000110110011001000000000000000100010
29154,51498,25.133794,20C,8,1111100011111111111100100001000011111111111100000000000000000000
14607,51499,25.134038,29A,8,110011110011
36191,51411,25.134352,4FA,3,000101000100000000000000
12854,51504,25.135049,189,8,0011001000000010110001110011110010110000110000100000000000000000
17667,51506,25.135496,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
718,51507,25.135744,3F7,8,0000100000000000000001000000000000000000000000000000000000000000
