,Unnamed: 0,ts,ID,DLC,bin
861,27625,26.943201,320,8,0000000000100000000000000000000000000000000000000000000001001011
12186,27627,26.947663,2C1,8,0000100011111110011101111111111001111101110000000000000010000011
29582,27629,26.948437,24,8,0000001000000000000000011110010101000010000000011000000011010111
4284,27630,26.948682,25,8,0000000000000000000000000000000101111111111111110000000010101100
24491,27631,26.949201,0AA,8,0010010101001111001001010101010100100101010101100010010101011110
15176,27632,26.94966,1C6,8,0000000000000000100000000000000110110111000101010100000000000000
9246,27633,26.950067,260,8,0000000000000000000000000000000000000000111111111011100000100001
19938,27634,26.950307,0B4,8,0000000000000000000000000000000000011000000010101011100110010111
13405,27635,26.950462,394,3,0
7619,27638,26.953091,3BC,8,0
21681,27640,26.953539,443,8,0100110100000010000000000010111100000110000000000000000000000000
33040,27641,26.953779,1C4,8,0001000001101010000110110000000000000000000000000000000001100010
4285,27644,26.958521,25,8,0000000000000000000000000000000101111111111111110000000010101100
24492,27645,26.959187,0AA,8,0010010101010011001001010100111000100101010100100010010101011010
35331,25700,26.964156,386,7,10000000000000000000000000000000000001100000000000000011
35413,25725,26.964206,3000000.0,6,001100110000000000000000000000000000000000000000
29583,27648,26.968421,24,8,0000001000000000000000011110000101000010000000001000000011010010
4286,27649,26.968664,25,8,0000000000000000000000000000000101111111111111110000000010101100
24493,27650,26.96918,0AA,8,0010010101001011001001010101000000100101010010010010010101010010
9247,27651,26.969946,260,8,0000000000000000000000000000000000000000111111111010110100010110
19939,27652,26.970184,0B4,8,0000000000000000000000000000000000011100000010101010111010010000
33041,27656,26.973647,1C4,8,0001000001111000000110110000000000000000000000000000000001110000
17486,27658,26.974166,226,8,0000000000000000000100000000000000000000000000000000000000000000
12187,27661,26.977646,2C1,8,0000100011111110010101111111111000010111110000000000000011111101
27886,27663,26.978336,4DC,8,0001110100000000000000000000000000000000000000000000000000000000
4287,27664,26.978578,25,8,0000000000000000000000000000000101111111111111110000000010101100
31596,27665,26.978823,633,8,1000000100000000000000000000000000000000000000000000000000000000
24494,27666,26.979174,0AA,8,0010010101001101001001010100111000100101010001100010010101010000
15177,27668,26.979754,1C6,8,0000000000000000100000000000000110111011000101010100000000000000
150,27670,26.98116,3B7,8,1000
29584,27672,26.988395,24,8,0000001000000000000000011110000101000010000000111000000011010101
4288,27673,26.98864,25,8,0000000000000000000000000000000101111111111111110000000010101100
24495,27674,26.98913,0AA,8,0010010101000100001001010100111000100101010001110010010101001000
9248,27675,26.989925,260,8,0000000000000000000000000000000000000000111111111010110100010110
19940,27676,26.990166,0B4,8,0000000000000000000000000000000000100000000010101010100010001110
862,27678,26.992144,320,8,0000000000100000000000000000000000000000000000000000000001001011
33042,27679,26.993652,1C4,8,0001000010010001000110110000000000000000000000000000000010001001
11053,27682,26.996658,620,8,0001000000000000000000000000000000000000000000000000000000000000
1550,27684,26.998372,6F3,8,0010000000000000000000000000000000000000000000000000000000000000
4289,27685,26.998617,25,8,0000000000000000000000000000000101111111111111110000000010101100
24496,27687,26.999148,0AA,8,0010010101000101001001010100110000100101010000010010010101000001
17487,27690,27.002136,226,8,0000000000000000000100000000000000000000000000000000000000000000
35160,27463,27.00426,3D3,3,101100000000001110111101
12188,27692,27.007591,2C1,8,0000100011111110001110101111110111101101110000000000000010110101
29585,27694,27.008377,24,8,0000001000000000000000011110001101000010000001101000000011011010
4290,27695,27.008621,25,8,0000000000000000000000000000000101111111111111110000000010101100
24497,27696,27.009106,0AA,8,0010010101000000001001010100010100100101001111110010010100111111
15178,27697,27.009604,1C6,8,0000000000000000100000000000000110111110000101010100000000000000
9249,27698,27.009961,260,8,0000000000000000000000000000000000000000111111111010110100010110
19941,27699,27.010204,0B4,8,0000000000000000000000000000000000100000000010101010001110001001
13543,27703,27.013133,399,8,0000000000000000000000000000000000000000111111110000000000000000
